system:index,B11,B12,B3,B4,B5,B6,B7,B8,B8A,NBRI,NDMI,NDVI,NDWI,SAVI,VH,VH_variance,VV,VV_VH,VV_variance,class,latitude_209564535,longitude_209564535,.geo
4433,0.1711,0.0679,0.0896,0.0605,0.0883,0.2158,0.2837,0.2795,0.3202,0.60909617,0.24056813,0.64411765,-0.5144947,0.39107144,-14.433844,0.5418472741908905,-7.4951167,-0.31641844,0.33888534909272927,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77155582114372,-1.4288316752893153]}"
4434,0.176,0.0726,0.0892,0.0609,0.0866,0.2254,0.3072,0.2848,0.3487,0.59373254,0.2361111,0.6476714,-0.52299464,0.39712664,-14.504443,0.54020904078385,-7.266366,-0.33246708,0.37907613839124704,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75376818206924,-1.433342998973899]}"
4435,0.1746,0.072,0.09075,0.0624,0.0824,0.22205,0.30095,0.2794,0.3372,0.5902106,0.23083697,0.63487417,-0.5096582,0.38667142,-15.254959,0.574494471034067,-7.4453454,-0.3440312,0.4233719342803912,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76177431600043,-1.4431247675990262]}"
4436,0.16285,0.0626,0.0827,0.056,0.07715,0.2063,0.28235,0.26235,0.31385,0.6147099,0.2340075,0.64818597,-0.5206492,0.37823057,-14.959378,0.5480242497552723,-7.0247593,-0.36092472,0.3980516376389538,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76332253105998,-1.431900645628774]}"
4437,0.24105,0.10885,0.12255,0.08615,0.13095,0.2748,0.3592,0.34465,0.4081,0.5199559,0.17688236,0.60004646,-0.47538528,0.41657713,-13.490445,0.4717466456908639,-8.644841,-0.21890858,0.33939007794664394,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31326262817576,-2.0174810043055964]}"
4438,0.1491,0.0611,0.0892,0.0612,0.0815,0.1882,0.2602,0.2143,0.3032,0.5562818,0.17941661,0.5557169,-0.41219112,0.29613155,-14.12658,0.49465887149936805,-7.5337086,-0.30437598,0.3737068906728478,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77865672560787,-1.428439876654268]}"
4439,0.2262,0.1003,0.0916,0.0683,0.101,0.3161,0.4242,0.3715,0.4721,0.5748198,0.24309853,0.68940425,-0.6044051,0.48393273,-13.87261,0.3557139161019336,-7.1057305,-0.32256505,0.3846596855073822,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.41282773095485,-1.8726991494744685]}"
4440,0.166,0.0677,0.088,0.0628,0.0881,0.2153,0.2908,0.2742,0.3316,0.60397774,0.24579737,0.6272997,-0.5140806,0.37885305,-14.389678,0.5202535745664747,-7.6478515,-0.30592477,0.3980799894716647,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77202457299714,-1.428929392869434]}"
4441,0.1727,0.0679,0.089,0.0616,0.0924,0.2491,0.3268,0.3031,0.3829,0.6339623,0.27406472,0.6621881,-0.54603416,0.4189314,-14.071232,0.47265966305945284,-6.983887,-0.3366091,0.34817060792395793,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77762855036009,-1.4283294827423505]}"
4442,0.21625,0.08085,0.09085,0.0633,0.0962,0.25845,0.35635,0.3401,0.4063,0.61586887,0.22261165,0.6861676,-0.5783733,0.45959708,-14.265216,0.4106431252525482,-6.762408,-0.35680723,0.33775429984333627,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31755487052168,-1.972218911098038]}"
4443,0.1658,0.0628,0.0845,0.0579,0.0824,0.2227,0.2977,0.2712,0.34,0.6239521,0.24118991,0.64813125,-0.5248805,0.38590038,-14.994216,0.6579225927021355,-7.4162393,-0.33814472,0.3866298917418032,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76513947427335,-1.4366482171286354]}"
4444,0.0759,0.031,0.0755,0.0516,0.0651,0.1791,0.2228,0.1914,0.2418,0.72122306,0.43209878,0.5753086,-0.43424508,0.2822342,-13.619756,0.5200591072702565,-7.5936475,-0.2840708,0.35785735700612875,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.78089162781173,-1.4278657810679636]}"
4445,0.1572,0.06095,0.09075,0.06465,0.08725,0.20535,0.2762,0.2643,0.3142,0.62521136,0.2540925,0.60693115,-0.48880437,0.36127028,-13.918601,0.5029785528225617,-8.004794,-0.26974866,0.34270033624232,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.77528761873141,-1.4284654746945684]}"
4446,0.2248,0.0893,0.1003,0.06815,0.10565,0.2677,0.3527,0.33145,0.39825,0.5755199,0.1917303,0.6589089,-0.53537923,0.43902844,-14.154897,0.34543617709867647,-7.3502617,-0.3164187,0.4266125732404748,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31702187536382,-1.9720054927623125]}"
4447,0.17335,0.0663,0.095,0.0705,0.0897,0.2198,0.29635,0.27525,0.3334,0.61176986,0.2271511,0.59219086,-0.4868332,0.3631392,-14.402389,0.5893409925067061,-7.8530736,-0.294279,0.330845576362921,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76647940652103,-1.4309981959069067]}"
4448,0.171,0.0665,0.0934,0.0611,0.0821,0.235,0.3129,0.2886,0.3586,0.6254576,0.25587466,0.65055764,-0.51099473,0.40161234,-14.259747,0.41001656903983275,-7.1989856,-0.32903907,0.3740805998331271,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76166648592044,-1.4310354933167857]}"
4449,0.2308,0.09505,0.10095,0.0695,0.11655,0.27445,0.35185,0.3228,0.39905,0.54505205,0.16618498,0.64567935,-0.52353984,0.4258097,-13.395889,0.3404877386324614,-7.833226,-0.26202992,0.40965638336269805,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.32003795219526,-1.968134618886032]}"
4450,0.2011,0.0834,0.0947,0.068,0.0936,0.2694,0.3747,0.3355,0.4159,0.60181427,0.25046587,0.6629492,-0.55973965,0.44410625,-14.092282,0.43736898996475304,-7.395089,-0.3116804,0.33449378959335085,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.40751309005921,-1.8730677315540802]}"
4451,0.16185,0.0664,0.0881,0.06315,0.08155,0.21755,0.29835,0.27725,0.3379,0.6135603,0.26281026,0.6289659,-0.5177227,0.38213944,-15.021974,0.5278000614627558,-7.3217688,-0.34462467,0.3725509508734284,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75807842256509,-1.423110927952503]}"
4452,0.15035,0.0612,0.09045,0.0624,0.0754,0.20375,0.2827,0.25845,0.31995,0.61708117,0.26443246,0.6110332,-0.48151335,0.3582567,-14.850561,0.4471454229932945,-6.758512,-0.37447459,0.3711766408205577,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75842956437404,-1.4286968671778537]}"
4453,0.2401,0.10335,0.1037,0.0724,0.1247,0.284,0.37315,0.3415,0.42015,0.535349,0.17434666,0.65015703,-0.53414196,0.44167852,-14.495118,0.426070730070343,-8.518294,-0.25971046,0.27800327464905017,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31732417933851,-1.967475026083585]}"
4454,0.1636,0.063,0.088,0.061,0.0815,0.2171,0.291,0.2712,0.325,0.62298024,0.24747011,0.63275135,-0.5100223,0.3788753,-14.976764,0.44392070561943814,-6.4878945,-0.3954812,0.4791983357652807,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75503539569505,-1.428926076697287]}"
4455,0.2123,0.0824,0.0961,0.0598,0.1066,0.2865,0.3665,0.3432,0.4031,0.61278194,0.23564355,0.7032258,-0.56248575,0.47076413,-13.928467,0.3873974009933079,-7.6482816,-0.29106262,0.4449255415097575,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.29953695497099,-1.9767798803381853]}"
4456,0.2213,0.0849,0.1033,0.0685,0.1181,0.3117,0.3911,0.3546,0.4401,0.6136519,0.2314638,0.6761995,-0.5488098,0.4649009,-13.399076,0.2848308100787662,-7.110948,-0.30658808,0.3813222825267175,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.40074788540734,-1.8755379143247153]}"
4457,0.2222,0.0925,0.1053,0.0678,0.1087,0.2665,0.3365,0.3231,0.3902,0.5548604,0.18503575,0.65310824,-0.50840336,0.42984623,-13.378833,0.4033865015561844,-7.4111996,-0.287043,0.3043662040748032,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.39937643576879,-1.8723357225803636]}"
4458,0.1834,0.0741,0.0924,0.0632,0.0854,0.2425,0.3367,0.3311,0.38,0.6342547,0.2870748,0.6794319,-0.56363636,0.44934586,-15.01336,0.527611047302301,-7.336243,-0.34350124,0.38597536421643025,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76829106514306,-1.4260708199793712]}"
4459,0.2088,0.0827,0.0959,0.0633,0.1008,0.2936,0.3908,0.3587,0.445,0.6252832,0.26414096,0.7,-0.57809067,0.4805857,-13.927226,0.46609265671154293,-7.218902,-0.3172365,0.3585338948103072,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.41067032703057,-1.8720473166546518]}"
4460,0.1683,0.0633,0.0855,0.0609,0.0855,0.2238,0.3139,0.2918,0.3517,0.6434807,0.2684199,0.65466404,-0.54677975,0.40618035,-14.698289,0.45831620432479525,-7.5651083,-0.3203995,0.31497127662825086,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76813032417608,-1.4364393865962999]}"
4461,0.1711,0.069,0.0971,0.0682,0.0851,0.2247,0.3098,0.2989,0.3469,0.6248981,0.2719149,0.6284391,-0.509596,0.39908892,-14.573942,0.5362607656216767,-7.2836723,-0.33353457,0.34639974520659855,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.7522896546087,-1.4342833365222702]}"
4462,0.161,0.06245,0.0921,0.0628,0.08835,0.2234,0.29575,0.2837,0.33235,0.63917375,0.27591634,0.63751805,-0.5098456,0.39143533,-14.75472,0.5259612552158117,-7.3961396,-0.33220294,0.313033783449459,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.7731656849366,-1.4281270901173462]}"
4463,0.2136,0.0834,0.1069,0.0662,0.1091,0.2892,0.3897,0.3371,0.4361,0.60332936,0.22426005,0.6717084,-0.5184685,0.44985053,-13.340515,0.3688018211532409,-7.3858356,-0.28729993,0.33499636561400514,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.39879420743262,-1.8725291197717084]}"
4464,0.16825,0.06995,0.0925,0.065,0.087,0.2288,0.32115,0.2985,0.3562,0.62030125,0.27905732,0.6423659,-0.5268542,0.40561667,-14.459367,0.5843976950924059,-7.504478,-0.3166517,0.4177030010597438,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75090685442049,-1.4389884486832336]}"
